Date,Symbol,Open,High,Low,Volume From,Volume To,Close
1/8/2017,BTCUSD,898.75,940.1,890,1555.03,1424914.93,912.99
1/9/2017,BTCUSD,912.99,913.99,880.5,3164.74,2833043.55,902.98
1/10/2017,BTCUSD,902.98,913.99,900.38,2473.06,2241278.21,907.99
1/11/2017,BTCUSD,907.99,921.77,760.11,7171.97,5873948,789.31
1/12/2017,BTCUSD,789.31,832.15,752,3914.88,3115110.61,813.02
1/13/2017,BTCUSD,813.02,833.79,777.91,4320.73,3505548.9,826.69
1/14/2017,BTCUSD,826.69,839.78,815,766.37,633743.52,824.65
1/15/2017,BTCUSD,824.65,829.58,812,348.23,285946.45,827.56
1/16/2017,BTCUSD,827.56,841.28,822.53,869.74,724199.79,835.13
1/17/2017,BTCUSD,835.13,910.99,831.82,3967.7,3517231.08,907.19
1/18/2017,BTCUSD,907.19,916.89,851.39,3364.86,2970220.5,878.02
1/19/2017,BTCUSD,878.02,908.97,878.01,2843.34,2554131.69,901.75
1/20/2017,BTCUSD,901.75,906.56,885.01,3193.55,2868680.69,899.53
1/21/2017,BTCUSD,899.53,928.97,896.77,1350.07,1235056.12,923.25
1/22/2017,BTCUSD,923.25,940.42,895.51,1302.74,1196674.44,921.82
1/23/2017,BTCUSD,921.82,928,915.37,2578,2371902.86,923.87
1/24/2017,BTCUSD,923.87,925.09,887.29,3830.88,3457393.83,890.66
1/25/2017,BTCUSD,890.66,903.02,882.01,2502.75,2233394.99,894.06
1/26/2017,BTCUSD,894.06,920.59,893.23,2109.97,1923339.66,918.42
1/27/2017,BTCUSD,918.42,924.88,909.97,2187.5,2013902.61,921.01
1/28/2017,BTCUSD,921.01,922.99,918.78,389.64,358903.75,921.29
1/29/2017,BTCUSD,921.29,922.99,915,311.58,286509.28,916.77
1/30/2017,BTCUSD,916.77,923.99,912.01,1660.4,1529001.87,923.02
1/31/2017,BTCUSD,923.02,970.04,921.99,1836.05,1748798.09,967.02
2/1/2017,BTCUSD,967.02,990,962.35,2404.69,2346365.67,989.1
2/2/2017,BTCUSD,989.1,1013.92,977.51,3122.29,3117788.13,1005.97
2/3/2017,BTCUSD,1005.97,1024,995.98,3865.48,3925432.73,1015.09
2/4/2017,BTCUSD,1015.09,1041.97,1005.01,1479.36,1513440.08,1032.98
