Symbol,Date,Open,High,Low,Close,Volume
ENGRO,26-May-2009,139.70,143.00,139.50,141.50,3354500
ENGRO,27-May-2009,143.50,143.73,138.10,139.00,3627700
ENGRO,28-May-2009,140.25,145.65,140.00,145.00,4704100
ENGRO,29-May-2009,145.39,145.50,138.90,140.25,5385100
ENGRO,01-Jun-2009,140.00,140.83,134.65,135.25,2449800
ENGRO,02-Jun-2009,134.78,136.45,131.70,132.70,1512300
ENGRO,03-Jun-2009,133.51,134.95,130.11,130.55,1751200
ENGRO,04-Jun-2009,131.30,132.65,128.50,128.99,1287400
ENGRO,05-Jun-2009,129.50,132.70,129.20,131.00,1468400
ENGRO,08-Jun-2009,132.20,133.70,129.60,133.25,1481300
ENGRO,09-Jun-2009,133.25,136.50,132.01,135.98,4969900
ENGRO,10-Jun-2009,135.80,137.25,132.25,133.07,2320200
ENGRO,11-Jun-2009,133.10,134.00,128.40,129.20,4178200
ENGRO,12-Jun-2009,130.02,134.00,129.00,132.62,2824600
ENGRO,15-Jun-2009,132.62,132.90,128.75,129.22,1333000
ENGRO,16-Jun-2009,129.00,129.90,127.75,128.70,1218300
ENGRO,17-Jun-2009,128.95,134.49,128.95,133.54,2729400
ENGRO,18-Jun-2009,134.30,134.70,130.75,131.21,1996700
ENGRO,19-Jun-2009,131.49,132.50,130.11,131.12,916800
ENGRO,22-Jun-2009,131.75,132.99,127.81,129.09,2225500
ENGRO,23-Jun-2009,129.55,130.49,127.20,127.94,1580100
ENGRO,24-Jun-2009,128.00,128.70,126.20,126.90,1004200
ENGRO,25-Jun-2009,126.80,129.60,126.80,128.57,1191900
ENGRO,26-Jun-2009,129.29,131.98,129.22,129.85,1616200
ENGRO,29-Jun-2009,130.50,131.45,129.50,129.92,726100
ENGRO,30-Jun-2009,130.39,130.75,128.01,128.43,652100
ENGRO,01-Jul-2009,128.60,131.50,128.60,130.53,1377900
ENGRO,02-Jul-2009,131.25,137.05,131.25,136.75,5916000
ENGRO,03-Jul-2009,137.93,138.39,134.00,134.70,4552000
ENGRO,06-Jul-2009,134.90,135.90,134.26,135.46,986300
ENGRO,07-Jul-2009,137.20,139.90,136.02,136.54,5422600
ENGRO,08-Jul-2009,136.70,136.99,134.30,134.94,1539000
ENGRO,09-Jul-2009,136.10,138.35,134.80,135.74,2433100
ENGRO,10-Jul-2009,136.40,139.28,136.00,138.90,3434900
ENGRO,13-Jul-2009,140.15,142.55,140.05,141.68,4967500
ENGRO,14-Jul-2009,142.36,142.50,139.00,139.41,4300600
ENGRO,15-Jul-2009,140.20,144.38,140.01,143.09,8391400
ENGRO,16-Jul-2009,143.79,147.98,143.75,147.07,8325700
ENGRO,17-Jul-2009,148.35,148.60,144.75,145.20,3644900
ENGRO,20-Jul-2009,146.00,148.05,144.71,145.08,2960900
ENGRO,21-Jul-2009,145.49,145.95,143.00,144.31,1332328
ENGRO,22-Jul-2009,144.31,145.84,141.70,142.29,1945904
ENGRO,23-Jul-2009,144.05,145.65,142.50,142.85,2058294
ENGRO,24-Jul-2009,143.70,143.75,139.50,141.53,2283162
ENGRO,27-Jul-2009,141.85,142.20,136.70,137.29,2389826
ENGRO,28-Jul-2009,137.05,137.25,132.60,134.49,2521770
ENGRO,29-Jul-2009,133.60,136.49,130.00,131.22,1941647
ENGRO,30-Jul-2009,131.05,132.30,129.99,130.30,707114
ENGRO,31-Jul-2009,130.99,136.00,130.99,135.53,1904258
ENGRO,03-Aug-2009,135.60,136.00,132.80,133.76,1091900
ENGRO,04-Aug-2009,134.44,135.80,133.01,133.78,1043293
ENGRO,05-Aug-2009,134.44,137.70,134.00,134.64,2051719
ENGRO,06-Aug-2009,135.33,141.00,133.00,135.06,1421185
ENGRO,07-Aug-2009,135.30,137.40,135.10,135.43,1595331
ENGRO,10-Aug-2009,136.50,140.80,136.00,140.20,3357613
ENGRO,11-Aug-2009,140.99,142.50,138.60,141.07,4402314
ENGRO,12-Aug-2009,141.64,142.35,138.90,139.26,2196574
ENGRO,13-Aug-2009,139.50,139.90,137.51,137.97,1236487
